"IDm","IDw","FormTime","DisTime","AgeGap"
26,123,0.0400862550,0.0789176559,-17.0590831892
69,177,0.1792130977,0.2543322464,2.4237170357
86,200,0.2057746356,0.2724495586,38.4225252137
43,104,0.1011691702,0.3187053785,-9.1644078335
52,115,0.1732456096,0.3992652234,-59.7167787602
100,123,0.0032821900,0.4214172147,-4.0697646198
75,180,0.2485399726,0.4547819864,38.8538886496
88,109,0.1595248518,0.4566501300,25.2360699737
24,159,0.2808230882,0.4623991818,7.5137575163
33,176,0.3807300583,0.5035997504,-0.0418073989
64,109,0.1965694223,0.5572111415,36.1261105850
49,129,0.3959052913,0.5989340123,41.3066451155
10,140,0.5188585101,0.6004620755,-6.3290826127
65,172,0.5097676207,0.6851322779,-20.1868582190
31,190,0.5520905114,0.7039200302,-2.1027932733
44,191,0.7140804498,0.8351266787,28.4268983829
25,193,0.4240044097,0.8415169945,7.3720471251
89,103,0.6115226868,0.8445717677,-3.1129231010
79,128,0.5471778667,0.8610098530,-2.8756939756
28,190,0.5500267760,0.8799225907,15.5110005709
95,128,0.1239791091,0.8812589301,-32.5133354454
3,124,0.2373467512,0.8936765792,11.6672376880
62,175,0.5542456522,0.9234914773,-22.8950734838
75,152,0.3377370617,0.9293267097,17.6325204614
47,135,0.8833300276,0.9495129125,-58.2821344736
96,183,0.4345852989,0.9510889478,-8.9275392337
89,125,0.5617493017,0.9637019531,4.9121911233
75,115,0.8796302248,1.0024620597,-22.0818034419
98,199,0.5490389704,1.0316201108,4.5582599815
10,130,0.6199974699,1.0441722166,4.1551604359
34,177,0.3558270714,1.0461082270,-12.8941479699
19,193,0.0565944813,1.0595535785,24.7378277287
88,173,0.5619806634,1.1121053873,15.1794271055
24,133,0.3773580947,1.1228593037,0.4572393872
84,143,0.9255486980,1.1306133244,4.5479063199
19,185,0.2711017700,1.1502160615,25.2635272123
63,116,0.6627730631,1.1556679571,1.4508920395
24,174,0.8850721772,1.1722336294,-17.4321953248
43,193,1.0224868602,1.2734012148,2.7965964332
71,105,1.2071782145,1.2953916008,7.1458853397
65,111,1.3009327678,1.3139020405,-15.7854216675
24,156,0.3392954210,1.3221779845,-15.1557201437
49,117,1.0603456140,1.3878213962,-8.5029038500
15,119,1.0405166844,1.4016384674,-2.1739680604
16,140,0.7336441589,1.4493140618,-10.9503795620
50,155,0.1749190275,1.4960245453,-8.4612053740
8,140,1.3498910034,1.5551978538,-14.8905697959
91,200,1.1451594444,1.5599742743,3.9828127568
15,165,1.0075026846,1.6260889791,-16.8208962433
79,186,1.4533472189,1.6446307304,35.9847478824
64,159,0.8472656406,1.6596585310,53.3273584312
44,169,0.9920148668,1.6602957552,14.3126756590
25,121,1.4165160845,1.6886876058,19.9141221488
25,177,0.6993524938,1.6897763725,0.8538736243
87,117,0.7573893665,1.6999998294,-34.9098765307
29,111,0.8081938466,1.7134268323,-42.4189398161
3,153,0.9915168828,1.7283320287,9.7570561374
44,199,1.5818771324,1.7397460039,17.1499686166
77,200,1.6911949717,1.7439786269,-0.4697059860
9,123,1.4668317703,1.7525620493,9.2309524028
34,175,1.1583461517,1.7538609436,-29.3101951341
71,124,1.7510657603,1.7569578281,17.4188207721
89,119,0.8221569371,1.7784397183,-17.7658479507
44,135,1.3480296488,1.7899452552,-22.3255581943
90,105,0.8907434055,1.7948170235,41.6710890285
58,151,0.9327367146,1.7953731565,-36.4776879985
17,151,1.4431752404,1.7998665554,7.3640538498
64,187,0.8416626092,1.8085767168,1.4785598262
6,178,1.6340915653,1.8189511926,-26.3435342335
39,105,1.0607638933,1.8530503676,23.7533086616
15,160,0.2216894731,1.8809274404,6.2404160363
75,165,0.8570258365,1.8941143445,-2.2114434507
55,103,1.5216694520,1.9526243040,11.2878108960
33,132,1.6174225364,1.9824141173,-9.0124898568
76,132,0.1986323959,1.9841011759,12.6713912041
50,183,1.5482420715,1.9867950189,-10.5098114819
59,192,1.6659124999,1.9873701528,-18.4343549416
58,109,0.0317117855,2.0058683364,-10.6831380836
50,169,1.8709871369,2.0492017868,-20.6070893963
16,136,1.4787355926,2.0583094301,30.5325223756
8,183,1.5862160482,2.0755001969,12.3856333117
13,158,1.8345453490,2.1091251557,-66.5301089056
100,155,1.7752471530,2.1186312187,1.8844792389
42,185,1.5622889108,2.1234123129,12.1480807687
91,135,1.9227385074,2.1247894460,-50.6671947544
34,130,1.2256683658,2.1286078154,-25.1525102867
100,179,2.0842219389,2.1473772810,7.2990634712
53,167,2.1202455965,2.1577715020,-14.3318187594
34,151,1.7379127036,2.1622822993,-37.5278774038
54,159,2.0597230512,2.1683500351,10.1506377532
5,167,1.5466905256,2.1735097165,-12.5482809796
31,179,2.1434975243,2.1809201344,5.0401482020
65,121,2.1477783741,2.2026431939,29.6728159373
33,164,1.2428348613,2.2300289755,-6.5197945260
24,158,2.0068183868,2.2655383197,-57.3267020383
7,193,0.3735895657,2.2777392575,15.6090413686
34,179,1.7020809471,2.3182208713,-0.8973598874
4,111,1.0378489639,2.3467882842,-14.3632648840
51,124,2.2414925839,2.4014234174,13.5803522297
52,124,1.4255208071,2.4014234174,2.5326133416
57,124,2.0155099210,2.4014234174,-3.3311490064
63,166,1.7098071922,2.4207822355,-6.3397864281
23,119,1.9430662680,2.4266268638,-22.9054117301
87,143,2.3913575392,2.4334468942,3.5192289269
97,110,1.0025135949,2.4623175851,-0.6312563596
59,128,2.1357013294,2.4666121794,-32.1297762939
26,199,1.7197863578,2.5139883812,-20.4134303951
41,119,1.7978151315,2.5623776758,-29.0053803219
17,138,2.4832542862,2.5686857815,29.8761121726
16,183,2.5189950220,2.5947826716,16.3258235456
5,110,1.3038196792,2.6282373250,3.9963861500
41,112,1.6754109885,2.6579013236,-6.1049552163
2,103,1.9168058513,2.6640753457,-8.4185601295
58,136,2.4139181000,2.6928307142,6.8963380075
53,176,2.3145545779,2.7070891226,-4.9033794439
49,145,2.4200083159,2.7134869282,36.9055432771
41,109,1.5634265432,2.7387518150,-15.0829921220
3,174,2.5721388120,2.7960656984,-9.8871830345
34,161,1.9074166382,2.7981641508,-0.8266661063
86,192,2.7899826853,2.8204715766,14.1000363358
61,183,2.2709050042,2.8528369016,21.9051474042
70,169,2.8688177983,2.8988620167,-17.5553643356
53,165,2.5121228215,2.9053144271,-42.3098231583
2,176,2.3737783220,2.9076152589,-0.3119694477
38,187,2.6232849824,2.9302721783,-52.9201220650
72,164,2.7805978688,2.9754478259,-12.2425396160
47,116,2.6697874978,2.9809368622,-1.4411000977
7,111,0.5007099505,2.9816395613,-17.3071212124
25,104,1.9111178888,2.9937800512,-4.5889571416
43,177,2.3046965387,2.9990992082,-3.7215770676
62,138,2.3915462317,3.0019897767,-8.6006974307
42,117,2.5061543209,3.0139846330,-30.0483816747
53,105,1.4877438625,3.0220524872,-10.2037264802
69,180,1.9160472219,3.0424415940,16.0805532342
82,185,0.6839535405,3.0548516785,54.1981192376
70,122,2.6628654976,3.0558011750,-22.4048925825
2,195,2.5861388811,3.0869470490,-25.5478324170
100,200,2.7916307225,3.0957579280,7.7503688744
95,176,1.8670879458,3.1344814182,3.0544291118
6,145,0.5860887862,3.1672497422,6.3296290073
72,187,2.0262240013,3.1703536456,-49.2492305793
65,194,3.1434865819,3.1953733967,30.4980256237
33,104,2.2512620766,3.1976826509,-15.4825859774
13,190,3.0383432806,3.2085706156,-15.1978710711
90,172,0.9928196130,3.2157305337,6.1740626204
55,167,2.7011173068,3.2201659654,9.9659622623
29,180,1.7856205451,3.2378659432,-2.3641145373
88,104,1.8482077278,3.2395904513,18.6324187268
96,144,2.3280144237,3.2466160173,3.5836127787
6,119,2.8609158724,3.2491184883,-16.6877963797
13,152,2.3401044623,3.2637556832,-27.6162496680
23,110,2.9810142510,3.2680067923,6.9703316155
3,113,1.9371978173,3.3633850759,-15.9342188381
89,164,0.9021844054,3.3741651742,-1.4843195463
29,189,2.3050069580,3.3796434878,-6.2246364516
47,142,3.2026346504,3.3913660321,-18.9413162206
6,179,3.3757470067,3.4018270796,8.0705594217
16,173,3.3083707734,3.4535756781,2.8964034162
33,135,1.6102452049,3.4728193901,-52.2416692370
5,143,2.5090750047,3.4911048903,-9.8412734781
38,145,3.0582814662,3.5042712162,-9.1775341192
54,113,2.3390071447,3.5309970116,-20.8423508915
25,195,3.1201460276,3.6246524260,-14.3840415324
98,153,3.0205924503,3.6316943732,20.3450018540
97,161,2.4023593434,3.6350406275,-5.6779501226
39,144,2.3785170288,3.6557210242,36.1004576398
34,164,2.8395131689,3.6805516381,-9.3741872844
97,117,3.5372786746,3.7069522980,-52.8980214452
91,130,3.3079958168,3.7275284970,-20.7236430457
70,136,2.5640404087,3.7453343151,6.7486124088
33,179,2.9310913668,3.7474472331,1.9570328709
5,179,1.5864600139,3.7699097520,-1.1210013942
72,135,3.5501956278,3.7712900690,-57.9644143270
34,175,3.7383642061,3.7993097941,-29.3101951341
68,142,0.3669452499,3.8191504779,-10.5420349473
40,113,3.3736690041,3.8267774399,-33.9860992580
69,194,3.3210804118,3.8486760122,22.3091752466
4,110,2.4033138503,3.8528046187,29.1488998229
76,192,1.8354650639,3.8680627143,-0.2302695429
52,164,3.5575554155,3.8681163630,-8.9179621816
76,122,2.8835189881,3.8817607306,1.2309174302
50,189,0.8376073492,3.9182741448,-5.2470949399
6,135,2.6455225741,3.9227374278,-46.1281426863
25,163,3.7882136386,3.9417820522,2.3919893098
95,190,3.8730621847,3.9529404779,-2.0896720937
98,191,3.7412185196,3.9749191718,15.8351897478
21,159,3.9241082750,3.9886504019,1.8246099742
8,162,3.8060661917,4.0148129135,-24.9749086545
95,180,3.7180526478,4.0253088473,6.7133174976
26,156,3.1174816585,4.0424079982,-21.9944525133
86,167,3.7932114149,4.0573703089,26.5439402252
59,125,3.1620916350,4.0591791834,3.3565118058
73,129,3.8395397690,4.0916536248,-7.9280492047
21,149,2.8105402850,4.0940736306,5.0646230137
39,149,3.7484884449,4.0966619584,40.6577892521
50,155,4.1295295034,4.1353672783,-8.4612053740
31,159,3.4567541785,4.1370521115,11.4054284468
59,111,3.0613601724,4.1562601039,-32.9579486296
77,195,4.1892844959,4.2353325928,-28.1557146284
58,146,4.1205896643,4.2610729401,10.7496253649
57,135,2.5698485892,4.2612794590,-60.5035992406
21,164,3.5712808966,4.2775785409,-13.0174976676
72,152,4.1729644667,4.3277301301,-23.3270322913
62,154,4.2425222594,4.3354829431,-47.9538810425
89,187,4.2486079721,4.3380843203,-38.4910105096
61,138,4.0024751985,4.3447265497,15.2498785509
95,199,4.2581844787,4.3549791292,-9.6699059154
27,156,3.1834424076,4.3658062958,-1.2363282770
95,111,4.2073782265,4.4151852785,-33.3415077811
69,162,3.4714535537,4.4915364833,-30.4032271883
3,129,4.0253893522,4.4934713400,11.3536609859
88,129,4.2596621207,4.4934713400,38.7322089993
2,119,3.7227245983,4.4952460202,-23.0714849792
16,193,4.2275817986,4.5187619774,18.3103993042
99,149,3.8838218297,4.5326924909,11.5565268094
15,154,3.4456954975,4.5339248757,-30.8872550644
8,194,3.6314565433,4.5400377356,27.7374937804
59,142,3.7345507518,4.5404524386,-9.4210553219
58,138,3.6556302084,4.5439659277,-13.9656296757
