"IDm","IDw","FormTime","DisTime","AgeGap"
437,675,0.0316661915,0.0357483661,2.6492943650
63,656,0.0128450058,0.0375117146,3.1542483168
47,985,0.0313047325,0.0547805852,0.2478625104
59,792,0.0064682753,0.1082311205,3.0061304277
337,828,0.0462597925,0.1144407479,2.5076092854
183,630,0.1181382221,0.1315626758,1.3754008221
406,985,0.0350318199,0.1496124994,1.7858265375
203,521,0.0160069434,0.1564533190,3.0211593177
2,665,0.0383803544,0.1685960897,3.3091897253
247,630,0.0371150368,0.1749091068,3.1835043329
441,858,0.0040421026,0.1756217442,2.8957671394
304,739,0.1816458397,0.1893473060,-0.0842902155
31,841,0.1722093082,0.1949778194,2.0297325647
302,545,0.0840457524,0.2158678867,-1.4737362665
459,675,0.0441358849,0.2175026710,-0.1320345488
9,701,0.1346474402,0.2177147520,1.4390427412
451,549,0.1312101332,0.2423360092,1.1704362910
141,523,0.1884108375,0.2462212864,1.1109275318
353,830,0.1089857095,0.2638061485,2.1097631275
248,770,0.0815122329,0.2738302259,2.1000034777
96,750,0.1109809271,0.2812638907,2.8045224187
179,725,0.1862168023,0.2864782276,2.4390850762
256,761,0.1003777827,0.2883718681,3.1056633699
99,862,0.0461881355,0.3000767338,3.3328765802
473,949,0.2811393388,0.3089130490,1.1930855037
297,694,0.2947305469,0.3138319005,3.6276408198
262,968,0.3269217826,0.3283213157,1.6410220466
164,615,0.1324215111,0.3293788520,2.9944252134
415,739,0.1428552769,0.3326899277,4.5678874266
34,624,0.1822358941,0.3394823514,1.5280959501
224,509,0.3315248713,0.3551381648,6.1155919758
6,630,0.1870413591,0.3606512700,3.9908943847
361,590,0.0601529842,0.3706495645,3.6814195305
39,754,0.2974688870,0.3739063687,4.7116506682
145,658,0.3400881427,0.3743079680,3.4970103279
298,834,0.1444660456,0.3793117016,3.2276002572
309,892,0.0295160706,0.3802268956,3.6922683135
133,684,0.1160030637,0.3890145341,5.4189872402
206,828,0.1674697623,0.3940518791,6.4139870614
8,692,0.3600256824,0.3961824498,1.7051912085
341,663,0.2751441877,0.3991102816,2.6868811563
143,543,0.3125510523,0.4003359170,2.2019127474
391,904,0.1449192254,0.4028976908,1.8983467691
316,760,0.1396486589,0.4106154879,-2.3723778266
215,636,0.0209507794,0.4181967127,2.7961498049
435,973,0.3313154029,0.4247439155,4.1309347455
234,757,0.0966027436,0.4352447369,-6.7151989976
96,656,0.4253437202,0.4396980239,2.8813396519
122,892,0.1352985729,0.4449488161,2.6994306400
187,837,0.2459358056,0.4504137507,4.1559660959
50,624,0.4117636685,0.4535921236,-0.6211653041
169,610,0.1184809072,0.4596749878,2.3028490645
128,729,0.1874331490,0.4608289790,1.8143547353
363,960,0.2818778557,0.4746929637,2.4446388777
476,591,0.4317250551,0.4836340540,2.4925068778
191,538,0.4368466138,0.4888622673,1.2672058028
495,506,0.1692137830,0.4927522255,4.0616729054
37,851,0.4744745736,0.4954746279,3.5036926551
482,559,0.3291418656,0.4977331123,-0.0590069008
360,619,0.2444816793,0.4989192369,5.0542926311
15,940,0.2718256591,0.5038740012,1.6410033151
129,604,0.4385467059,0.5066055268,0.4683619858
130,879,0.4729818736,0.5124265888,4.5116439935
3,794,0.1770110611,0.5198551459,1.7307430785
122,726,0.5233383144,0.5375235890,3.3462722805
472,925,0.2367708131,0.5413490511,0.7203679957
160,566,0.5404341020,0.5426826725,4.2322739025
460,737,0.0292066880,0.5446210448,6.4515346381
391,501,0.3727492091,0.5455904121,2.0577874450
291,900,0.3553583680,0.5467535922,1.0067215081
284,844,0.0928889766,0.5477578687,2.0330109537
4,718,0.2556340227,0.5521275169,2.5208383169
88,677,0.5112157957,0.5556723855,1.6975639214
84,643,0.1549535772,0.5557222367,3.8213084511
303,757,0.3537526613,0.5586322898,3.0688978492
176,662,0.4067766357,0.5599045951,2.7786806856
160,959,0.1715888268,0.5659210111,2.5316647739
5,730,0.1885786787,0.5762224042,2.3306815868
344,580,0.1045662944,0.5763350215,1.0798133954
200,742,0.0682446262,0.5774176614,3.3403216843
70,957,0.2461421707,0.5814401821,1.2002898768
43,705,0.4330161000,0.5817102886,2.8836919551
23,841,0.5519178153,0.5971970123,-1.1574715660
322,968,0.4900153709,0.5972788248,3.3672944146
447,860,0.5001712750,0.5994526324,4.0830520055
142,686,0.3072698973,0.6021033941,4.7217505874
225,580,0.4851478242,0.6041190167,5.2033728585
56,708,0.1337148616,0.6049940042,3.6236152264
68,664,0.5361484810,0.6059944931,2.6482359313
429,711,0.0123894840,0.6065411557,-0.8129359257
65,846,0.0542429135,0.6078166477,2.9198381326
69,987,0.4899789249,0.6095190657,5.4062994954
442,633,0.4477094224,0.6129461523,0.8035022598
297,817,0.0240896687,0.6312388569,0.3054676896
42,539,0.5423061697,0.6503427002,2.7369784719
43,633,0.0529076091,0.6626164999,2.8073353551
405,748,0.5572352090,0.6627359678,9.5536136556
96,591,0.5105249992,0.6642657539,3.5687971768
124,501,0.5967390374,0.6827171359,2.2968620794
120,974,0.4968876299,0.6827913537,6.3240143780
51,757,0.0280280551,0.6835589567,1.9411971407
89,886,0.4739302544,0.6861201860,4.6278352997
479,952,0.2675048279,0.6879323868,2.3755443388
224,660,0.6355059970,0.6901574759,3.3130297374
173,882,0.5228463680,0.7104632189,-0.8637530547
415,656,0.3884754425,0.7131913852,3.3041769868
265,826,0.1018307010,0.7170292632,4.6368533245
379,866,0.5370063712,0.7240499922,1.0885414742
113,803,0.5435841751,0.7311043735,2.4905640502
187,814,0.4279376046,0.7350058883,-1.3520318344
252,646,0.4705011411,0.7391430300,3.2338067150
381,505,0.3607578176,0.7392195892,2.7837347841
76,645,0.2087235109,0.7406022334,7.0426560755
473,807,0.6149736794,0.7423760187,3.0841496569
401,942,0.6739487605,0.7434639704,1.6552482843
193,605,0.5154088273,0.7437625902,4.0435358044
397,835,0.0075370503,0.7448129947,1.8220120138
8,575,0.2270866917,0.7449075028,1.0949406404
342,925,0.5214254661,0.7450836078,3.1953074757
329,617,0.3284852566,0.7481087854,-0.5251580470
245,645,0.7156919301,0.7493193028,3.9279254553
189,836,0.1788834693,0.7574351419,3.9870806775
465,879,0.7445746212,0.7598244695,1.8745804737
