"IDm","IDw","FormTime","DisTime","AgeGap"
191,717,0.0306084738,0.0552751826,-39.4421974809
287,921,0.0636654906,0.0677476651,10.1632494612
355,720,0.0621324143,0.0856082670,21.5388114179
429,711,0.0280179653,0.1091903279,-0.8129359257
284,544,0.0472924372,0.1116711106,-4.7808535956
368,952,0.0962268891,0.1599249723,18.3097658334
309,770,0.0084006989,0.1645088513,26.2638308229
323,904,0.1198997517,0.1748572247,19.9105372556
488,960,0.0929370555,0.1988346842,22.4582977586
128,934,0.0801660901,0.2179601601,36.1936961922
373,919,0.1062202281,0.2263425643,-11.1092786665
243,765,0.1372106863,0.2363865007,23.4267188841
297,817,0.1225169170,0.2598824460,0.3054676896
59,792,0.2308035363,0.2777627630,3.0061304277
286,689,0.2322210433,0.2904805888,-42.7938577333
486,880,0.1487351341,0.3190180977,-17.9078415889
272,985,0.0986120202,0.3444647382,24.3151072431
449,604,0.2972349012,0.3477897463,-0.8015927317
89,811,0.2142910133,0.3704434227,-34.5066724088
19,588,0.2231512883,0.3758956213,-10.9615343733
498,877,0.1681963127,0.3925464492,-5.0635059054
52,544,0.2736407675,0.3958266554,-16.2533835194
90,770,0.0563137882,0.4070246132,54.9782986933
452,893,0.3683100651,0.4089299472,11.1698344742
411,649,0.2059300145,0.4165297947,-19.7370029280
374,576,0.1879129282,0.4309523196,-62.9906773995
341,730,0.3525277147,0.4424252968,10.3730256682
84,921,0.2608687053,0.4492452315,18.6295357445
487,520,0.3649104058,0.4512812781,-19.7652107522
156,972,0.4545214946,0.4588051555,3.2268425537
189,765,0.4391521995,0.4670206219,-9.1087390179
210,952,0.1381534228,0.4767954160,44.6577846638
46,826,0.1286177241,0.4790669722,30.7439217700
37,658,0.3087647963,0.4824370182,23.0408962269
221,834,0.4152846544,0.4844138268,-29.9133316333
405,748,0.1729342581,0.5141283387,9.5536136556
177,606,0.4855588094,0.5263000050,-19.1708530844
476,677,0.3137190395,0.5339993289,-36.9151128462
189,648,0.4233915223,0.5369500980,-9.0605738567
484,943,0.1978965951,0.5444070525,-12.0514921565
123,676,0.2025703565,0.5513510813,14.0297313069
360,729,0.5312632763,0.5634872260,-29.5561758309
15,921,0.4525980108,0.5781388356,27.9457450817
51,757,0.4663928247,0.5913727452,1.9411971407
56,541,0.5697292785,0.6049940042,26.4450584929
17,731,0.3090987317,0.6083498252,29.0098833664
248,564,0.0511301740,0.6241052023,-27.7532667251
175,799,0.5885117078,0.6337909047,31.5356960654
344,754,0.1733960212,0.6422637242,-30.6752398257
215,544,0.2975569171,0.6459882348,-8.8626287193
215,636,0.6477809323,0.6489827226,2.7961498049
199,537,0.0512469005,0.6583960887,-19.3452976520
368,900,0.3603375416,0.6682298368,20.9516684932
298,844,0.3401398808,0.6833659547,18.2222020171
440,590,0.5021878502,0.6870824177,29.5980945444
100,640,0.6679032966,0.6891791890,-23.9393772851
309,892,0.6405786998,0.6949698289,3.6922683135
230,522,0.5132806850,0.6957316092,-30.6294028892
61,799,0.5144667559,0.7008664888,35.5742992628
266,702,0.5794848011,0.7173825185,9.3335404744
407,787,0.5632743696,0.7507945681,37.1552584470
250,555,0.6344851200,0.7532221709,22.9814874262
74,828,0.1448040538,0.7535967374,-35.3561953969
53,787,0.5993481362,0.7546077107,-3.8767964307
341,617,0.3505218054,0.7592294369,-51.3688197232
229,694,0.5047726388,0.7595216055,29.6782170207
17,857,0.4685040611,0.7703568450,47.2158424664
499,778,0.7188196150,0.7734710939,-29.6992198049
91,917,0.4860056015,0.7801102193,-1.6651714610
234,757,0.0030326606,0.7812862037,-6.7151989976
123,648,0.3578762872,0.7826205794,-1.0332182659
441,858,0.1343342301,0.7920479165,2.8957671394
326,920,0.5337390786,0.8270455168,-12.6685581952
474,589,0.6102576047,0.8305289793,-7.2509121768
167,949,0.6182004633,0.8331878200,14.0664484842
176,775,0.0189465093,0.8357061367,-17.5358782152
449,886,0.3781686735,0.8366096884,-7.1575195459
261,743,0.4775591228,0.8411401617,-9.7687730608
304,739,0.6965091422,0.8465696347,-0.0842902155
444,686,0.6310191147,0.8504831471,25.9436474991
82,940,0.1796882501,0.8528883064,38.2076499099
206,828,0.5056804978,0.8578946980,6.4139870614
175,794,0.7387114366,0.8586393878,18.3669880637
175,814,0.7336644382,0.8628605881,-18.3442537819
133,684,0.7203668402,0.8698653196,5.4189872402
57,801,0.3793158047,0.8730078812,-24.6135590206
419,826,0.6623227745,0.8769222598,-28.5410653368
472,963,0.3146800636,0.8786002121,-55.8977973939
241,952,0.4622334372,0.8794307019,20.1071605129
135,739,0.4408642196,0.8804512741,56.8170987232
145,640,0.0414690507,0.8952797064,-30.8116445919
391,713,0.8564829098,0.9062119607,-52.6941940632
460,802,0.8152316110,0.9118073438,36.2829425545
441,968,0.2320367144,0.9228435398,-11.1800079445
248,775,0.5156749760,0.9273017162,-22.1038064579
60,726,0.6947599683,0.9347551180,-17.1462589110
158,644,0.9050082598,0.9360087564,56.7976649955
178,877,0.3357511109,0.9401963019,-22.8966692089
41,666,0.0136234315,0.9429910058,-8.1487238419
404,970,0.5167541195,0.9444344209,44.2429344265
87,644,0.7502328577,0.9446872284,13.5572741136
203,521,0.5649792658,0.9503104115,3.0211593177
172,824,0.9298152210,0.9589107337,-16.4466573336
248,628,0.7032580839,0.9658524211,-8.6840540366
387,533,0.7469575734,0.9725976999,0.5182858625
54,949,0.0919394162,0.9765879179,8.9322527648
189,717,0.7349476270,0.9795217707,-40.5320249357
76,645,0.3996296061,0.9806118569,7.0426560755
47,985,0.1527023912,0.9927555363,0.2478625104
240,575,0.5644774466,1.0011742879,6.3689685372
242,835,0.7133728758,1.0031030833,-3.3280941064
41,690,0.8680762476,1.0056689292,-74.5304962781
446,695,0.5243046106,1.0077092629,-34.5913073855
265,749,1.0078246167,1.0087364942,27.2492198338
52,824,0.9718894906,1.0111155768,-56.4964127698
47,639,0.9460031130,1.0124348225,-16.3476667062
167,775,0.5032269944,1.0152581251,-9.2762343492
441,910,0.8626452305,1.0232440879,-0.1703411801
414,760,0.6621211807,1.0242947258,33.2438105162
227,560,0.3184053819,1.0261040088,12.5840970149
423,925,0.5068451415,1.0275492606,23.9046275115
240,969,0.0872301332,1.0420407392,22.8224315946
309,903,0.5207196487,1.0529020315,-6.8960090017
63,656,0.4116924380,1.0681664010,3.1542483168
308,802,0.8165463728,1.0726078244,17.4822449973
302,954,0.3471581218,1.0797735934,-12.2749479412
301,585,0.6566617268,1.0847354278,11.8430625392
109,906,0.6858019407,1.0868866575,2.8694874964
112,979,0.2211147576,1.0932191645,-16.8066565136
219,586,0.7531199852,1.1013118366,6.9600004216
335,795,1.0187049827,1.1061696378,-37.5077663447
370,747,0.5306767042,1.1186384131,37.3600388789
55,729,0.8992235350,1.1237876801,-11.0866466818
62,787,0.6969776645,1.1310566035,4.5455045062
37,667,0.8439037619,1.1326233618,-55.4591189598
302,545,0.1177425167,1.1372753505,-1.4737362665
290,940,0.1452026712,1.1432435252,-10.1494857493
227,933,0.6602131651,1.1433253614,28.5645798614
100,511,0.2829724067,1.1478272985,-6.6143303008
294,862,0.4334515576,1.1527389919,43.9418604546
60,530,1.1513500391,1.1532674257,2.0005726458
173,638,1.1055542736,1.1670427287,22.3990910297
205,774,0.8645761576,1.1673330086,-18.0472243781
133,861,0.6415262832,1.1719767278,-2.8399658719
363,549,1.0336203564,1.1899147331,-6.5356644755
451,856,0.9272793016,1.1961107044,-27.5698185758
326,610,0.9454810263,1.1987010034,-9.5509295064
475,696,0.4888356817,1.2026431033,26.9376125215
322,667,1.1496342722,1.2030318312,-64.7748517779
232,842,0.6678115181,1.2035730274,14.1703362205
153,585,1.2037626869,1.2099208480,-38.9198107758
173,993,1.0663755990,1.2119689550,-24.0914533088
318,956,0.3282561565,1.2120207166,-7.9980532468
121,819,0.8608683520,1.2178034502,-24.6838171107
444,920,0.5524632732,1.2255904868,17.8291175051
186,605,0.4670171684,1.2323380722,-1.9458867283
2,665,1.0994733291,1.2328129338,3.3091897253
209,800,1.1411818366,1.2383939812,23.4295532298
272,591,0.5607593827,1.2457431664,25.0169584373
272,778,0.4667640987,1.2457431664,-37.5036915686
229,589,0.5632618189,1.2474833682,18.0727646816
405,524,0.3391274651,1.2583664418,-8.8367160656
50,864,1.1331022250,1.2587922596,-10.0132432260
362,862,0.2827855275,1.2629799513,3.4579904129
491,756,1.0359620554,1.2643555164,-22.7541308849
79,662,1.1119604302,1.2711855006,36.8096821751
327,602,0.0016240878,1.2730389754,6.1946636903
136,793,0.8983390948,1.2735982336,-9.1983961716
76,597,0.1822906920,1.2827492411,12.0547812960
344,675,1.2469086829,1.2856483175,-2.5275964826
486,524,0.7889917311,1.2921340307,-19.4768632899
410,588,0.3653141720,1.2967652374,-20.3370940930
425,562,1.0554779323,1.3037376088,-3.6005630078
